main | Главная | Crossceed Finance
lang | ru | de
trade | Торговля | Handel
balance | Баланс | Kontostand
exchange | Обмен | Tausch
history | История | Geschichte
news | Новости | Nachrichten
contact | Контакты | Kontakte
profile | Профиль | Profil
logout | Выйти | Ausloggen
login | Войти | Anmelden
register | Регистрация | Registrieren
email_check_code | Введите код проверки с электронной почты | Geben Sie den Bestätigungscode aus der E-Mail ein
condition_age | Подтвердите условия и ваш возраст | Bestätigen Sie die Bedingungen und Ihr Alter
wrong_sum | Неправильная сумма | Falsche Menge
wrong_balance | Неправильный баланс | Falscher Kontostand
all_field | Заполните все поля | Füllen Sie alle Felder aus
about_us | О нас | Über uns
products | Продукты | Produkte
service | Обслуживание | Service
support | Поддержка 24/7 | Support 24/7
mob_support | Поддержка | Support
submit_request | Отправить запрос | Anfrage senden
learn | Изучить | Lernen
community | Сообщество | Community
CROSSCEED_FINANCE | Покупайте и продавайте криптовалюту выгодно и безопасно | Krypto profitabel und sicher kaufen und verkaufen
CROSSCEED_FINANCE_TEXT | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени.умная система мониторинга предотвращает куплю/продажу в убыток. Наш клиент-инвестор всегда в прибыли как и компания. |Eine multidisziplinäre Kryptowährungsplattform mit manueller und automatischer Funktionalität gleichzeitig an mehreren Kryptowährungsbörsen in Echtzeit. Ein intelligentes Überwachungssystem verhindert den Kauf / Verkauf mit Verlust. Unser Investor gewinnt immer, genau so wie auch das Unternehmen.
step_1 | 1 шаг | 1 Schritt
step_2 | 2 шаг | 2 Schritt
step_3 | 3 шаг | 3 Schritt
step_4 | 4 шаг | 4 Schritt
step_5 | 5 шаг | 5 Sritt
step_1_text | Клиент передает на управление<br /> свои финансы агенту | Client überträgt an das Management <br /> Eigene Finanzen an einen Agenten
step_2_text | Агент выводит наличные<br /> и отсылает агенту в другой стране. | Agent hebt Bargeld ab<br /> und überweist an einen Agenten in einem anderen Land.
step_3_text | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании. | Zweiter Agent, bei dem der Kurs niedriger ist,<br /> kauft Kryptowährung für einen Client,<br /> und Überträgt alles ans Unternehmen.
step_4_text | Основная сумма и прибыль<br /> переводится на счет клиента. | Kapital und Gewinn <br /> wird an das Kundenkonto überwiesen.
step_5_text | Завершение<br /> процесса сделки. | Abschluss des <br /> Transaktionsprozesses.
mobile | Мобильный | Mobil
API | API | API
API_Documentation | Официальная документация API | Offizielles API-Dokumentation
registration_closed | Регистрация закрыта | Registrierung geschlossen
for_free | бесплатно | Kostenlos
your_email | Введите Ваш Email адресс | Geben Sie Ihre E-Mail-Adresse ein
your_name | Введите ваше имя | Enter your name
email | Email | E-Mail
sing_name | Имя, используемое для входа | Anmeldename
create_password | Создайте пароль | Erstellen Sie Passwort
create_password_text | Пароль не должен быть менее 6 символов | Das Passwort muss mindestens aus 6 Zeichen bestehen
confirm_password | Подтвердите пароль | Bestätigen Sie das Passwort
referral_ID | ID реферала (необязательно) | Referral ID (keine Pflicht)
terms | Я принимаю Условия использования | Ich akzeptiere die Nutzungsbedingungen
over_18 | Мне больше 18 лет | Ich bin über 18 Jahre alt
start_now | Начать! | Konto erstellen
have_account | Уже есть аккаунт? | Haben Sie schon einen Account?
sign_in | Войти | Anmelden
wrong_password | Неправильный пароль | Ungültiges Passwort
password_match | Пароли не совпадают | Passwörter stimmen nicht überein
enter_email | Введите email | E-Mail eingeben
user_exist | Пользователь уже существует | Benutzer existiert bereits
registration_completed | Регистрация завершена. Теперь Вы можете войти. | Registrierung abgeschlossen. Sie können sich jetzt einloggen
registration_completed_code | Регистрация завершена. Теперь Вы можете войти. | Registrierung abgeschlossen. Sie können sich jetzt einloggen.
registration_moderation | Регистрация завершена. Вы можете войти после модерации. | Registrierung abgeschlossen. Sie können sich nach der Moderation einloggen.
registration_instruction | Для завершения регистрации следуйте инструкциям: инструкции. | Befolgen Sie die Anweisungen, um die Registrierung abzuschließen: Anweisungen
your_password | Ваш Пароль | Ihr Passwort
email_code | Email Код | Email Code
dont_have_account | У Вас нет аккаунта? | Sie haben noch keinen Account?
sign_up | Войти | Eintreten
wrong_login | Не верный логин или пароль | Ungültiger Benutzername oder Passwort
account_blocked | Аккаунт заблокирован | Account gesperrt
account_moderated | Аккаунт не модерирован | Account wurde nicht moderiert
account_deleted | Аккаунт удален администратором | Account vom Administrator gelöscht
wrong_code | Не верный код авторизации | Ungültiger Autorisierungscode
wrong_code_2 | Не верный код | Ungültiger Code
your_code | Ваш код авторизации | Ihr Autorisierungscode
contact_center | Контактный центр | Contact Center
create_help | Мы созданы, чтобы помогать | Wir sind geschaffen, um zu helfen.
customer_service | Служба поддержки CROSSCEED работает круглосуточно и без выходных, чтобы помочь вам с вашими потребностями <br />. | Kundendienst CROSSCEED arbeitet rund um die Uhr und sieben Tage die Woche, um Ihnen bei Ihren Bedürfnissen zu helfen<br />.
ask_question | Задать вопрос | Eine Frage stellen
send_request | Отправить запрос | Anfrage senden
topic_1 | Topic 1 | Topic 1
topic_2 | Topic 2 | Topic 2
topic_3 | Topic 3 | Topic 3
your_question | Ваш вопрос | Ihre Frage
FAQ | FAQ | FAQ
our_address | Ваш Адрес | Ihre Adresse
address_1 | 7298 East Charles Street | 7298 East Charles Strasse
address_2 | New Lenox, IL 60451 | New Lenox, IL 60451
contact_info | Контакты | Kontaktdaten
phone_1 | (896) 931-6550 | (896) 931-6550
phone_2 | (965) 446-9687 | (965) 446-9687
follow_us | Подпишитесь | Abonnieren
sended | Отправлено | Gesendet
choose_currency_sell | Выберите валюту для продажи | Wählen Sie eine Währung zum Verkauf
sum | Сумма | Betrag
