main | Главная | Crossceed Finance
lang | ru | es
trade | Торговля | Comercio
balance | Баланс | Equilibrio
exchange | Обмен | Intercambio
history | История | Historia
news | Новости | Noticias
contact | Контакты | Contacto
profile | Профиль | Perfil
logout | Выйти | Desconectarse
login | Log In | Iniciar sesión
register | Register | Registrarse
email_check_code | Введите код проверки с электронной почты | Ingrese su código de control del correo electrónico
condition_age | Подтвердите условия и ваш возраст | Confirme las condiciones y su edad.
wrong_sum | Неправильная сумма | Suma incorrecta
wrong_balance | Неправильный баланс | Pobre equilibrio
all_field | Заполните все поля | Rellena todos los campos
about_us | О нас | À propos de nous
products | Продукты | Des produits
service | Обслуживание | Un service
support | Поддержка 24/7 | Support 24/7
mob_support | Поддержка | Support
submit_request | Отправить запрос | Soumettre une demande
learn | Изучить | Apprendre
community | Сообщество | Communauté
CROSSCEED_FINANCE | Покупайте и продавайте криптовалюту выгодно и безопасно | Comprar y vender criptomonedas de forma rentable y segura
CROSSCEED_FINANCE_TEXT | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени.умная система мониторинга предотвращает куплю/продажу в убыток. Наш клиент-инвестор всегда в прибыли как и компания. | Une plate-forme multidisciplinaire de crypto-monnaie avec des fonctionnalités manuelles et automatiques en même temps sur plusieurs échanges de crypto-monnaie en temps réel Un système de surveillance intelligent empêche l'achat / la vente à perte. Notre client-investisseur est toujours bénéficiaire de l'entreprise.
step_1 | 1 шаг | 1 pas
step_2 | 2 шаг | 2 pas
step_3 | 3 шаг | 3 pas
step_4 | 4 шаг | 4 pas
step_5 | 5 pasos | 5 pasg
step_1_text | Клиент передает на управление<br /> свои финансы агенту | El cliente transfiere la gestión financiera al agente <br />
step_2_text | Агент выводит наличные<br /> и отсылает агенту в другой стране. | El agente retira dinero <br /> y lo envía a un agente en otro país.
step_3_text | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании. | El segundo agente, donde la tasa es más baja, <br /> compra criptomonedas para el cliente, <br /> y transfiere todas las empresas.
step_4_text | Основная сумма и прибыль<br /> переводится на счет клиента. |El capital y las ganancias <br /> se transfieren a la cuenta del cliente.
step_5_text | Завершение<br /> процесса сделки. | Finalización del proceso de transacción <br />.
mobile | Мобильный | Mobile
API | API | API
sum | Сумма | Somme
API_Documentation | Официальная документация API | Documentación oficial de NAME API
registration_closed | Регистрация закрыта | El registro está cerrado.
for_free | бесплатно | gratuitamente
your_email | Ваш Email | Votre email
your_name | Введите ваше имя | Enter your name
email | Email | Email
sing_name | Имя, используемое для входа | Nombre para usar para cantar
create_password | Создайте пароль | crear una contraseña
create_password_text | Пароль не должен быть менее 6 символов | La contraseña debe tener al menos 6 caracteres
confirm_password | Подтвердите пароль | Confirmar contraseña
referral_ID | ID реферала (необязательно) | ID de référence (facultatif)
terms | Я принимаю Условия использования | Acepto los terminos y condiciones
over_18 | Мне больше 18 лет | Soy mayor de 18
start_now | Начать! | Comience ahora!
have_account | Vous avez déjà un compte? |
sign_in | Войти | Iniciar sesión
wrong_password | Неправильный пароль | Contraseña incorrecta
password_match | Пароли не совпадают | Las contraseñas no coinciden
enter_email | Введите email | Entrez votre e-mail
user_exist | Пользователь уже существует | L'utilisateur existe déjà
registration_completed | Регистрация завершена. Теперь Вы можете войти. | Registro completado. Ahora puede iniciar sesión.
registration_completed_code | Регистрация завершена. Теперь Вы можете войти. | Registro completado. Ahora puede iniciar sesión.
registration_moderation | Регистрация завершена. Вы можете войти после модерации. | Registro completado. Puede iniciar sesión después de la moderación.
registration_instruction | Для завершения регистрации следуйте инструкциям: инструкции. | Para completar el registro, siga las instrucciones: instrucciones.
your_password | Ваш Пароль | su contraseña
email_code | Email Код | Code e-mail
dont_have_account | У Вас нет аккаунта? |¿No tienes una cuenta?
sign_up | Войти | S'inscrire
wrong_login | Не верный логин или пароль | Nombre de usuario o contraseña incorrectos
account_blocked | Аккаунт заблокирован | cuenta bloqueada
account_moderated | Аккаунт не модерирован | Cuenta no moderada
