main | Главная | Crossceed Finance
lang | ru | fr
trade | Торговля | Commerce
balance | Баланс | Équilibre
exchange | Обмен | Échange
history | История | L'histoire
news | Новости | Actualités
contact | Контакты | Contact
profile | Профиль | Profile
logout | Выйти | Déconnexion
login | Войти | Connexion
register | Регистрация | S'inscrire
email_check_code | Введите код проверки с электронной почты | Entrez votre code de contrôle à partir de l'e-mail
condition_age | Подтвердите условия и ваш возраст | Confirmer les conditions et votre âge
wrong_sum | Неправильная сумма | Mauvaise somme
wrong_balance | Неправильный баланс | Mauvais équilibre
all_field | Заполните все поля | Remplissez tous les champs
about_us | О нас | À propos de nous
products | Продукты | Des produits
service | Обслуживание | Un service
support | Поддержка 24/7 | Support 24/7
mob_support | Поддержка | Support
submit_request | Отправить запрос | Soumettre une demande
learn | Изучить | Apprendre
community | Сообщество | Communauté
CROSSCEED_FINANCE | Покупайте и продавайте криптовалюту выгодно и безопасно | Acheter et vendre des crypto de manière rentable et en toute sécurité
CROSSCEED_FINANCE_TEXT | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени.умная система мониторинга предотвращает куплю/продажу в убыток. Наш клиент-инвестор всегда в прибыли как и компания. | Une plate-forme multidisciplinaire de crypto-monnaie avec des fonctionnalités manuelles et automatiques en même temps sur plusieurs échanges de crypto-monnaie en temps réel Un système de surveillance intelligent empêche l'achat / la vente à perte. Notre client-investisseur est toujours bénéficiaire de l'entreprise.
step_1 | 1 шаг | 1 pas
step_2 | 2 шаг | 2 pas
step_3 | 3 шаг | 3 pas
step_4 | 4 шаг | 4 pas
step_5 | 5 étape | 5 pasg
step_1_text | Клиент передает на управление<br /> свои финансы агенту | Le client transfère les finances de gestion à l'agent <br />
step_2_text | Агент выводит наличные<br /> и отсылает агенту в другой стране. | L'agent retire de l'argent <br /> et l'envoie à un agent dans un autre pays.
step_3_text | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании. | Le deuxième agent, où le taux est plus bas, <br /> achète de la crypto-monnaie pour le client, <br /> et transfère toutes les entreprises.
step_4_text | Основная сумма и прибыль<br /> переводится на счет клиента. | Le principal et le profit <br /> sont transférés sur le compte du client.
step_5_text | Завершение<br /> процесса сделки. | Achèvement du processus de transaction <br />.
mobile | Мобильный | Mobile
API | API | API
API_Documentation | Официальная документация API | Documentation officielle de l'API NAME
registration_closed | Регистрация закрыта | L'inscription est fermée
for_free | бесплатно | gratuitement
your_name | Enter your name | Votre nom
your_email | Ваш Email | Votre email
email | Email | Email
sing_name | Имя, используемое для входа | Nom à utiliser pour chanter
create_password | Создайте пароль | Créer un mot de passe
create_password_text | Пароль не должен быть менее 6 символов | Le mot de passe doit être au moins de 6 caractères
confirm_password | Подтвердите пароль | Confirmez le mot de passe
referral_ID | ID реферала (необязательно) | ID de référence (facultatif)
terms | Я принимаю Условия использования | J'accepte les termes et conditions
over_18 | Мне больше 18 лет | J'ai plus de 18 ans
start_now | Начать! | Créer un compte
have_account | Already have account? | Déjà inscrit ?
sign_in | Войти | se connecter
